,Iteration,Time,Fitness,Restarts,max_iters,current_restart
536,536,4.2450372000000005,2.0,25,512,1
537,537,4.2454026,2.0,25,512,1
538,538,4.245766700000001,2.0,25,512,1
539,539,4.246138800000001,2.0,25,512,1
540,540,4.2465057,2.0,25,512,1
541,541,4.2468816,2.0,25,512,1
542,542,4.2472668,2.0,25,512,1
543,543,4.247639700000001,2.0,25,512,1
544,544,4.248016400000001,2.0,25,512,1
545,545,4.248385799999999,2.0,25,512,1
546,546,4.2619712,2.0,25,512,1
547,547,4.262379000000001,2.0,25,512,1
548,548,4.2627776,2.0,25,512,1
549,549,4.263240100000001,2.0,25,512,1
550,550,4.2636126,2.0,25,512,1
551,551,4.263985700000001,2.0,25,512,1
552,552,4.2643526000000005,2.0,25,512,1
553,553,4.264715600000001,2.0,25,512,1
554,554,4.265082700000001,2.0,25,512,1
555,555,4.265446000000001,2.0,25,512,1
556,556,4.2658111000000005,2.0,25,512,1
557,557,4.2661794,2.0,25,512,1
558,558,4.266544,2.0,25,512,1
559,559,4.266956,2.0,25,512,1
560,560,4.267321300000001,2.0,25,512,1
561,561,4.267688400000001,2.0,25,512,1
562,562,4.2681401999999995,2.0,25,512,1
563,563,4.268552700000001,2.0,25,512,1
564,564,4.268924999999999,2.0,25,512,1
565,565,4.2692902,2.0,25,512,1
566,566,4.2696579,2.0,25,512,1
567,567,4.270029900000001,2.0,25,512,1
568,568,4.2703951,2.0,25,512,1
569,569,4.2707611,2.0,25,512,1
570,570,4.271133300000001,2.0,25,512,1
571,571,4.2715,2.0,25,512,1
572,572,4.271868700000001,2.0,25,512,1
573,573,4.2722368,2.0,25,512,1
574,574,4.2726033,2.0,25,512,1
575,575,4.272974100000001,2.0,25,512,1
576,576,4.273340000000001,2.0,25,512,1
577,577,4.2737061,2.0,25,512,1
578,578,4.288057,2.0,25,512,1
579,579,4.288467600000001,2.0,25,512,1
580,580,4.288877900000001,2.0,25,512,1
581,581,4.2892589,2.0,25,512,1
582,582,4.2896327,2.0,25,512,1
583,583,4.2900092999999995,2.0,25,512,1
584,584,4.290380900000001,2.0,25,512,1
585,585,4.2907513999999995,2.0,25,512,1
586,586,4.291129100000001,2.0,25,512,1
587,587,4.291499700000001,2.0,25,512,1
588,588,4.2918743,2.0,25,512,1
589,589,4.292245100000001,2.0,25,512,1
590,590,4.2926181,2.0,25,512,1
591,591,4.2929926,2.0,25,512,1
592,592,4.293362800000001,2.0,25,512,1
593,593,4.293737999999999,2.0,25,512,1
594,594,4.2941182,2.0,25,512,1
595,595,4.294489500000001,2.0,25,512,1
596,596,4.2948635,2.0,25,512,1
597,597,4.295235100000001,2.0,25,512,1
598,598,4.2956047,2.0,25,512,1
599,599,4.296061700000001,2.0,25,512,1
600,600,4.2964421,2.0,25,512,1
601,601,4.296813,2.0,25,512,1
602,602,4.2971927,2.0,25,512,1
603,603,4.297565199999999,2.0,25,512,1
604,604,4.297987600000001,2.0,25,512,1
605,605,4.298459600000001,2.0,25,512,1
606,606,4.2988724000000005,2.0,25,512,1
607,607,4.2992775000000005,2.0,25,512,1
608,608,4.2996801,2.0,25,512,1
609,609,4.300086500000001,2.0,25,512,1
610,610,4.300488100000001,2.0,25,512,1
611,611,4.3009317,2.0,25,512,1
612,612,4.3013137,2.0,25,512,1
