,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
118,128,3.0,0.15513069999999995,"[3, 5, 3, 5, 2, 1, 3, 3, 6, 8, 2, 4, 1, 4, 7, 8, 8, 0, 8, 6]",8,512,2
119,256,3.0,0.15513069999999995,"[3, 5, 3, 5, 2, 1, 3, 3, 6, 8, 2, 4, 1, 4, 7, 8, 8, 0, 8, 6]",8,512,2
120,512,3.0,0.15513069999999995,"[3, 5, 3, 5, 2, 1, 3, 3, 6, 8, 2, 4, 1, 4, 7, 8, 8, 0, 8, 6]",8,512,2
121,0,14.0,0.1666357999999999,"[2, 4, 2, 0, 4, 6, 6, 8, 2, 6, 0, 3, 3, 4, 6, 6, 3, 6, 2, 5]",8,512,3
122,1,12.0,0.16725060000000003,"[2, 1, 2, 0, 4, 6, 6, 8, 2, 6, 0, 3, 3, 4, 6, 6, 3, 6, 2, 5]",8,512,3
123,2,12.0,0.17858170000000007,"[2, 1, 2, 0, 4, 6, 6, 8, 2, 6, 0, 3, 3, 4, 6, 6, 3, 6, 2, 5]",8,512,3
124,4,12.0,0.19018509999999988,"[2, 1, 2, 0, 4, 6, 6, 8, 2, 6, 0, 3, 3, 4, 6, 6, 3, 6, 2, 5]",8,512,3
125,8,12.0,0.20144720000000005,"[2, 1, 2, 0, 4, 6, 6, 8, 2, 6, 0, 3, 3, 4, 6, 6, 3, 6, 2, 5]",8,512,3
126,16,12.0,0.20144720000000005,"[2, 1, 2, 0, 4, 6, 6, 8, 2, 6, 0, 3, 3, 4, 6, 6, 3, 6, 2, 5]",8,512,3
127,32,12.0,0.20144720000000005,"[2, 1, 2, 0, 4, 6, 6, 8, 2, 6, 0, 3, 3, 4, 6, 6, 3, 6, 2, 5]",8,512,3
128,64,12.0,0.20144720000000005,"[2, 1, 2, 0, 4, 6, 6, 8, 2, 6, 0, 3, 3, 4, 6, 6, 3, 6, 2, 5]",8,512,3
129,128,12.0,0.20144720000000005,"[2, 1, 2, 0, 4, 6, 6, 8, 2, 6, 0, 3, 3, 4, 6, 6, 3, 6, 2, 5]",8,512,3
130,256,12.0,0.20144720000000005,"[2, 1, 2, 0, 4, 6, 6, 8, 2, 6, 0, 3, 3, 4, 6, 6, 3, 6, 2, 5]",8,512,3
131,512,12.0,0.20144720000000005,"[2, 1, 2, 0, 4, 6, 6, 8, 2, 6, 0, 3, 3, 4, 6, 6, 3, 6, 2, 5]",8,512,3
132,0,5.0,0.2130245999999998,"[6, 8, 6, 0, 0, 8, 8, 3, 8, 2, 6, 5, 7, 8, 4, 0, 2, 7, 5, 7]",8,512,4
133,1,4.0,0.2136326999999998,"[6, 8, 6, 0, 0, 8, 8, 3, 3, 2, 6, 5, 7, 8, 4, 0, 2, 7, 5, 7]",8,512,4
134,2,3.0,0.22614939999999972,"[6, 8, 6, 0, 0, 8, 8, 3, 3, 2, 6, 5, 7, 8, 4, 0, 6, 7, 5, 7]",8,512,4
135,4,3.0,0.23840890000000003,"[6, 8, 6, 0, 0, 8, 8, 3, 3, 2, 6, 5, 7, 8, 4, 0, 6, 7, 5, 7]",8,512,4
136,8,2.0,0.2512989000000001,"[6, 8, 6, 0, 1, 8, 8, 3, 3, 2, 6, 5, 7, 8, 4, 0, 6, 7, 5, 7]",8,512,4
137,16,2.0,0.2637432999999998,"[6, 8, 6, 0, 1, 8, 8, 3, 3, 2, 6, 5, 7, 8, 4, 0, 6, 7, 5, 7]",8,512,4
138,32,2.0,0.2637432999999998,"[6, 8, 6, 0, 1, 8, 8, 3, 3, 2, 6, 5, 7, 8, 4, 0, 6, 7, 5, 7]",8,512,4
139,64,2.0,0.2637432999999998,"[6, 8, 6, 0, 1, 8, 8, 3, 3, 2, 6, 5, 7, 8, 4, 0, 6, 7, 5, 7]",8,512,4
140,128,2.0,0.2637432999999998,"[6, 8, 6, 0, 1, 8, 8, 3, 3, 2, 6, 5, 7, 8, 4, 0, 6, 7, 5, 7]",8,512,4
141,256,2.0,0.2637432999999998,"[6, 8, 6, 0, 1, 8, 8, 3, 3, 2, 6, 5, 7, 8, 4, 0, 6, 7, 5, 7]",8,512,4
142,512,2.0,0.2637432999999998,"[6, 8, 6, 0, 1, 8, 8, 3, 3, 2, 6, 5, 7, 8, 4, 0, 6, 7, 5, 7]",8,512,4
143,0,6.0,0.2762555,"[2, 1, 4, 5, 6, 3, 6, 7, 0, 5, 7, 4, 3, 1, 5, 5, 0, 8, 5, 2]",8,512,5
144,1,6.0,0.2767914,"[2, 1, 4, 5, 6, 3, 6, 7, 0, 5, 7, 4, 3, 1, 5, 5, 0, 8, 5, 2]",8,512,5
145,2,6.0,0.2892888,"[2, 1, 4, 5, 6, 3, 6, 7, 0, 5, 7, 4, 3, 1, 5, 5, 0, 8, 5, 2]",8,512,5
146,4,4.0,0.3019811999999997,"[2, 1, 7, 5, 6, 3, 6, 7, 0, 5, 7, 4, 3, 1, 5, 5, 0, 8, 3, 2]",8,512,5
147,8,4.0,0.3142651999999999,"[2, 1, 7, 5, 6, 3, 6, 7, 0, 5, 7, 4, 3, 1, 5, 5, 0, 8, 3, 2]",8,512,5
148,16,4.0,0.32635520000000007,"[2, 1, 7, 5, 6, 3, 6, 7, 0, 5, 7, 4, 3, 1, 5, 5, 0, 8, 3, 2]",8,512,5
149,32,4.0,0.32635520000000007,"[2, 1, 7, 5, 6, 3, 6, 7, 0, 5, 7, 4, 3, 1, 5, 5, 0, 8, 3, 2]",8,512,5
150,64,4.0,0.32635520000000007,"[2, 1, 7, 5, 6, 3, 6, 7, 0, 5, 7, 4, 3, 1, 5, 5, 0, 8, 3, 2]",8,512,5
151,128,4.0,0.32635520000000007,"[2, 1, 7, 5, 6, 3, 6, 7, 0, 5, 7, 4, 3, 1, 5, 5, 0, 8, 3, 2]",8,512,5
152,256,4.0,0.32635520000000007,"[2, 1, 7, 5, 6, 3, 6, 7, 0, 5, 7, 4, 3, 1, 5, 5, 0, 8, 3, 2]",8,512,5
153,512,4.0,0.32635520000000007,"[2, 1, 7, 5, 6, 3, 6, 7, 0, 5, 7, 4, 3, 1, 5, 5, 0, 8, 3, 2]",8,512,5
154,0,4.0,0.3390268000000001,"[8, 8, 1, 6, 2, 6, 8, 3, 0, 1, 0, 4, 4, 6, 8, 8, 2, 2, 2, 3]",8,512,6
155,1,3.0,0.3396509999999999,"[7, 8, 1, 6, 2, 6, 8, 3, 0, 1, 0, 4, 4, 6, 8, 8, 2, 2, 2, 3]",8,512,6
156,2,3.0,0.3519853999999998,"[7, 8, 1, 6, 2, 6, 8, 3, 0, 1, 0, 4, 4, 6, 8, 8, 2, 2, 2, 3]",8,512,6
